TERM,MEANING,PRONOUNCED_AS
SAMSAH,service d'accompagnement médico-social pour adultes handicapés,çamme-çah
SAOS,syndrome des apnées obstructives du sommeil,
SAPL,syndrome des antiphospholipides,
SARM,Staphylococcus aureus résistant à la méticilline,çarme
SARV,Staphylococcus aureus résistant à la vancomycine,çarve
SAS,syndrome d'apnées du sommeil,çasse
SASM,sensible à la méticilline,çassme
SB,substance blanche,
SBHGA,streptocoque bêta-hémolytique du groupe A,
SBI,syndrome biologique inflammatoire,
SCAM,sortie contre avis médical,çcame
SCM,(muscle) sterno-cléido-mastoïdien,
SDRA,syndrome de détresse respiratoire aigüe,sdra
SERM,modulateurs sélectifs des récepteurs aux estrogènes,çerme
SESSAD,services d'éducation spéciale et de soins à domicile,çè-Sade
SFU,signes fonctionnels urinaires,
SGA,streptocoque du groupe A,
SGB,streptocoque du groupe B,
SHA,solution hydroalcoolique,chat
SHU,syndrome hémolytique et urémique,
SIB,syndrome inflammatoire biologique,
SJSR,syndrome des jambes sans repos,
SLA,sclérose latérale amyotrophique,
SLD,soins de longue durée,
SMIT,service des maladies infectieuses et tropicales,smitte
SMR,"service médical rendu",
SNG,sonde naso-gastrique,
SNS,système nerveux sympathique,
SNV,système nerveux végétatif,
SOFA,évaluation des défaillances d'organes liées au sepsis,sofa
SOPK,syndrome des ovaires polykystiques,
SPA,spondylarthrite ankylosante,
SPCMD,sédation profonde et continue maintenue jusqu'au décès,
SPDRE,soins psychiatriques à la demande du représentant de l'État,S-P-D-R-E;sdreuh
SPDT,soins psychiatriques à la demande d'un tiers,
SPF,Santé Publique France,
SPL,soins psychiatriques libres,
SPPI,soins psychiatriques péril imminent,
SPSC,soins psychiatriques sans consentement,
SRAA,système rénine-angiotensine-aldostérone ou substance réticulée activatrice ascendante,
SSIAD,service de soins infirmiers à domicile,S-S-I-ade
SSMG,Société Scientifique de Médecine Générale,
SSPI,salle de surveillance postinterventionnelle,
SSPO,salle de surveillance postopératoire,
ST,segment ST à l’ECG,
ST-plus,sus-décalage du segment ST,
STEC,shiga toxin-producing Escherichia coli (Escherichia coli productrice de shigatoxines),stèk
STEMI,ST elevation myocardial infarction (infarctus du myocarde avec sus-décalage du segment ST),stémi
SURSAUD,surveillance sanitaire des urgences et des décès,sur-saut
SVCR,syndrome de vasoconstriction cérébrale réversible,
SaO2,saturation artérielle en oxygène,
TACFA,tachyarythmie complète par fibrillation atriale (= auriculaire),tack-fa
TAP,thoraco-abdomino-pelvien,tappe
TCC,thérapie comportementale et cognitive,
TDA,trouble du déficit de l'attention,T-D-A;tadah
TDAH,trouble du déficit de l'attention avec ou sans hyperactivité,T-D-A-H;tadache
TENS,(neurostimulation électrique transcutanée),tènsse
TFPI,inhibiteur de la voie du facteur tissulaire,
THC,tétrahydrocannabinol,
TJ,turgescence jugulaire,
TLCO,transfer factor for carbon monoxide (capacité de transfert du monoxyde de carbone),
TNM,(classification tumeur-nœuds-métastases),
TOP,trouble oppositionnel avec provocation,T-O-P;toppe
TP,taux de prothrombine,
TPO,thyroperoxydase,
TQ,Temps de Quick (test de coagulation lié au taux de prothrombine),
TRAK,TSH-Rezeptor-AutoantiKörper (Anticorps anti-récepteur de la TSH),traque
TRALI,(Œdème pulmonaire lésionnel post-transfusionnel),trali
TRC,temps de recoloration cutanée pour estimer la pression artérielle,
TROD,fest rapide d'orientation diagnostique,trodde
TSA,"troncs supra-aortiques, trouble du spectre de l’autisme",
TUS,troubles liés à l'usage de substances,
TVP,thrombose veineuse profonde,
TVPD,thrombose veineuse profonde distale,
TVPP,thrombose veineuse profonde proximale,
TVS,thrombose veineuse superficielle,
ToF,temps de vol,T-O-F;toffe
UA,urgence absolue ou urgences ambulatoires,
UFC,unité formant colonie,
UHCD,unité d'hospitalisation de courte durée,
